# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_airbus_b3
# Exported by: amber
setting:	replacespawns 0
weapon_ttt_smokegrenade	-2015.169189 353.060181 192.121323	-1.164 -1.249 -0.678
weapon_ttt_smokegrenade	-2145.550049 336.413605 194.257477	-8.548 30.048 90.216
weapon_ttt_smokegrenade	-2219.936279 339.538361 192.117996	-1.200 -1.252 -0.699
weapon_ttt_smokegrenade	-2189.903564 163.049484 192.105545	-1.332 -1.209 -0.776
weapon_ttt_smokegrenade	-1975.129395 173.076920 192.121323	-1.164 -1.249 -0.678
weapon_ttt_smokegrenade	-1858.784302 202.517441 192.158691	-0.766 -1.330 -0.446
weapon_ttt_smokegrenade	1311.432617 242.515732 0.095803	-1.436 -1.219 -0.837
weapon_ttt_smokegrenade	1300.902710 266.736420 0.139277	-0.973 -1.300 -0.567
weapon_ttt_smokegrenade	573.205444 298.980042 -191.804199	-0.371 -1.366 -0.216
weapon_ttt_smokegrenade	588.605591 296.530914 -191.900223	-1.394 -1.219 -0.812
weapon_ttt_smokegrenade	585.312439 325.478607 -191.862106	-0.987 -1.295 -0.575
ttt_random_weapon	-2305.273682 257.271301 236.272415	10.309 -6.434 -69.211	auto_ammo 2
ttt_random_weapon	-2259.315674 259.478058 237.104752	9.108 -10.938 -97.246	auto_ammo 2
ttt_random_weapon	-2199.801758 254.492355 236.250763	10.102 -6.548 -68.806	auto_ammo 2
ttt_random_weapon	-2131.968018 251.509384 236.258255	10.129 -6.789 -68.788	auto_ammo 2
ttt_random_weapon	-2077.594971 254.643326 236.813629	10.881 -7.550 -83.970	auto_ammo 2
ttt_random_weapon	-2220.952881 251.937881 237.119568	9.290 -23.812 -97.476	auto_ammo 2
ttt_random_weapon	-2166.612305 252.285797 237.119095	9.306 -12.427 -97.478	auto_ammo 2
ttt_random_weapon	-2270.068115 250.610809 235.880325	7.415 -12.672 -60.762	auto_ammo 2
ttt_random_weapon	-2096.734863 248.659134 237.122116	9.219 -18.692 -97.514	auto_ammo 2
ttt_random_weapon	-2032.700562 242.784515 236.291138	10.473 177.090 -69.905	auto_ammo 2
ttt_random_weapon	-2019.427124 255.218307 236.936157	0.246 -163.018 124.667	auto_ammo 2
ttt_random_weapon	-2007.892456 245.259171 236.959106	-0.310 11.342 125.510	auto_ammo 2
ttt_random_weapon	-1678.961914 141.460327 196.266449	10.200 68.227 -69.016	auto_ammo 2
ttt_random_weapon	-918.640442 256.724152 196.263397	10.184 -6.094 -68.992	auto_ammo 2
ttt_random_weapon	-937.825867 280.124634 197.129349	9.145 -17.701 -98.086	auto_ammo 2
ttt_random_weapon	-940.231445 252.453369 197.121414	9.229 -22.187 -97.469	auto_ammo 2
ttt_random_weapon	-656.741821 148.553650 213.133621	9.109 -11.242 -98.489	auto_ammo 2
ttt_random_weapon	-501.486023 146.708191 213.134537	9.117 -11.265 -98.647	auto_ammo 2
ttt_random_weapon	-349.224762 134.194290 213.112106	9.122 -11.252 -98.254	auto_ammo 2
ttt_random_weapon	-334.913727 377.885681 213.134415	9.111 -11.260 -98.602	auto_ammo 2
ttt_random_weapon	-500.376801 383.365326 213.129471	9.101 -11.157 -97.939	auto_ammo 2
ttt_random_weapon	-663.406067 368.832581 213.108917	9.129 -11.265 -98.345	auto_ammo 2
ttt_random_weapon	-233.254654 337.482635 197.132538	9.109 -11.219 -98.347	auto_ammo 2
ttt_random_weapon	-182.957382 335.712524 197.133575	9.111 -11.242 -98.493	auto_ammo 2
ttt_random_weapon	-170.355270 189.090744 197.133072	9.088 -11.550 -98.332	auto_ammo 2
ttt_random_weapon	-224.390976 195.637054 197.135239	9.086 -11.593 -98.607	auto_ammo 2
ttt_random_weapon	-12.861465 144.364517 196.190842	9.956 -84.091 -67.287	auto_ammo 2
ttt_random_weapon	-91.084496 134.875580 201.822723	-52.509 8.360 -70.523	auto_ammo 2
ttt_random_weapon	-93.169846 368.416046 199.244339	-34.524 1.358 -77.809	auto_ammo 2
ttt_random_weapon	-34.186939 374.333862 195.859039	7.080 12.441 -59.835	auto_ammo 2
ttt_random_weapon	245.197617 258.841339 197.125290	9.172 -11.449 -97.704	auto_ammo 2
ttt_random_weapon	154.969025 267.733765 197.134155	9.109 -10.954 -98.561	auto_ammo 2
ttt_random_weapon	566.670105 141.513260 197.134796	9.113 -11.268 -98.665	auto_ammo 2
ttt_random_weapon	570.112366 400.924042 197.136032	9.118 -11.298 -98.857	auto_ammo 2
ttt_random_weapon	733.000977 406.548981 196.936188	0.087 -29.251 125.896	auto_ammo 2
ttt_random_weapon	880.473145 397.353668 197.128265	9.201 -13.117 -98.170	auto_ammo 2
ttt_random_weapon	1038.523315 399.786743 197.134003	9.113 -11.251 -98.555	auto_ammo 2
ttt_random_weapon	1203.560913 396.992188 197.129623	9.103 -11.160 -97.963	auto_ammo 2
ttt_random_weapon	1367.583130 393.091522 197.134689	9.115 -11.267 -98.658	auto_ammo 2
ttt_random_weapon	1371.941650 127.622162 197.131851	9.108 -11.205 -98.255	auto_ammo 2
ttt_random_weapon	1200.935059 125.057007 197.133896	9.113 -11.249 -98.539	auto_ammo 2
ttt_random_weapon	1046.800537 127.300583 197.128662	9.127 -12.165 -97.937	auto_ammo 2
ttt_random_weapon	882.019958 131.230377 197.129791	9.089 -10.615 -97.934	auto_ammo 2
ttt_random_weapon	731.847107 146.119141 196.933487	0.218 -27.137 125.498	auto_ammo 2
ttt_random_weapon	-2360.062500 316.569580 33.132206	9.117 -11.215 -98.337	auto_ammo 2
ttt_random_weapon	-2365.696045 283.322754 33.128944	9.105 -11.146 -97.889	auto_ammo 2
ttt_random_weapon	-2145.223633 366.897919 33.128044	9.102 -11.128 -97.774	auto_ammo 2
ttt_random_weapon	-2103.658691 363.220581 33.485676	-3.774 -17.016 -96.788	auto_ammo 2
ttt_random_weapon	-1867.095215 353.566895 33.133526	9.120 -11.243 -98.521	auto_ammo 2
ttt_random_weapon	-1586.901001 267.732208 29.119743	9.284 -13.364 -97.475	auto_ammo 2
ttt_random_weapon	-1591.667603 245.648132 29.008242	9.177 -23.656 -95.931	auto_ammo 2
ttt_random_weapon	-1518.797485 222.804703 5.105563	8.865 -70.766 -98.336	auto_ammo 2
ttt_random_weapon	-1498.758789 304.803741 5.122433	9.195 6.836 -97.465	auto_ammo 2
ttt_random_weapon	-1331.225708 294.773651 4.935163	0.124 5.892 124.621	auto_ammo 2
ttt_random_weapon	-1329.829590 238.623337 3.876473	7.534 -17.820 -61.556	auto_ammo 2
ttt_random_weapon	-857.215881 271.676910 5.129122	9.132 -3.184 -98.011	auto_ammo 2
ttt_random_weapon	-681.301331 264.485413 5.132296	9.092 -12.431 -98.248	auto_ammo 2
ttt_random_weapon	-593.281433 285.867859 5.122093	9.239 -21.460 -97.581	auto_ammo 2
ttt_random_weapon	-505.208282 277.261139 11.119184	-64.367 21.127 -63.200	auto_ammo 2
ttt_random_weapon	-444.838104 280.793182 5.133695	9.121 -11.248 -98.550	auto_ammo 2
ttt_random_weapon	-369.095795 281.069519 5.129072	9.099 -12.333 -97.884	auto_ammo 2
ttt_random_weapon	-289.435150 279.966675 5.132703	9.133 -14.464 -98.468	auto_ammo 2
ttt_random_weapon	-193.518066 285.469666 4.912157	0.121 -27.586 125.541	auto_ammo 2
ttt_random_weapon	-114.995895 258.062439 6.181523	-27.685 4.955 34.723	auto_ammo 2
ttt_random_weapon	-32.582153 269.638885 5.118499	9.100 -11.400 -98.626	auto_ammo 2
ttt_random_weapon	212.984558 305.888702 3.835293	7.080 2.343 -59.319	auto_ammo 2
ttt_random_weapon	216.469269 233.961945 3.867093	7.188 -13.651 -59.907	auto_ammo 2
ttt_random_weapon	38.640648 237.449203 4.909334	-0.389 -16.080 125.149	auto_ammo 2
ttt_random_weapon	38.007732 304.422028 5.118339	9.331 -4.543 -97.480	auto_ammo 2
ttt_random_weapon	356.404694 171.029114 5.129978	9.092 -11.530 -97.964	auto_ammo 2
ttt_random_weapon	350.948700 319.202637 5.129611	9.092 -11.524 -97.921	auto_ammo 2
ttt_random_weapon	496.361786 348.722015 5.127974	9.101 -11.127 -97.762	auto_ammo 2
ttt_random_weapon	480.308746 175.688309 5.129763	9.106 -11.163 -97.991	auto_ammo 2
ttt_random_weapon	469.815674 221.530029 5.101273	9.101 -72.472 -97.823	auto_ammo 2
ttt_random_weapon	482.817871 299.648865 5.126232	9.191 -11.475 -97.886	auto_ammo 2
ttt_random_weapon	662.429688 297.503052 5.127895	9.113 -3.298 -97.797	auto_ammo 2
ttt_random_weapon	667.457458 209.037903 4.891590	0.106 173.524 124.255	auto_ammo 2
ttt_random_weapon	756.503906 427.828949 5.130297	9.110 -11.174 -98.070	auto_ammo 2
ttt_random_weapon	833.413391 421.712097 4.951272	-0.153 -21.893 125.733	auto_ammo 2
ttt_random_weapon	917.768494 408.483063 5.123059	9.219 -14.606 -97.619	auto_ammo 2
ttt_random_weapon	997.854614 405.845551 5.121785	9.217 -12.418 -97.467	auto_ammo 2
ttt_random_weapon	1078.230225 407.297028 5.129609	9.176 -15.031 -98.241	auto_ammo 2
ttt_random_weapon	988.895630 110.268600 5.130588	9.108 -5.006 -98.099	auto_ammo 2
ttt_random_weapon	913.302307 112.936600 5.135234	9.130 -11.286 -98.796	auto_ammo 2
ttt_random_weapon	831.431152 116.069176 5.129889	9.192 -12.648 -98.337	auto_ammo 2
ttt_random_weapon	766.318237 110.221390 8.175271	-38.311 1.581 73.780	auto_ammo 2
ttt_random_weapon	1248.309204 157.159180 5.130396	9.108 -11.176 -98.076	auto_ammo 2
ttt_random_weapon	1253.802856 364.319763 5.134691	9.126 -11.272 -98.705	auto_ammo 2
ttt_random_weapon	1287.104858 437.204498 -122.865341	9.124 -11.270 -98.693	auto_ammo 2
ttt_random_weapon	1288.063477 91.385971 -122.920357	9.063 -11.287 -98.244	auto_ammo 2
ttt_random_weapon	1250.700684 89.971069 -124.160088	7.107 -10.814 -59.562	auto_ammo 2
ttt_random_weapon	1243.675293 424.922272 -122.867363	9.118 -11.224 -98.395	auto_ammo 2
ttt_random_weapon	1112.177368 254.579544 -186.869019	9.107 -11.282 -98.144	auto_ammo 2
ttt_random_weapon	1071.323364 255.562180 -186.868118	9.106 -11.206 -98.252	auto_ammo 2
ttt_random_weapon	1149.287842 288.250732 -186.867294	9.103 -10.629 -98.348	auto_ammo 2
ttt_random_weapon	460.442139 216.574249 -186.874161	9.135 -5.270 -97.637	auto_ammo 2
ttt_random_weapon	475.828766 179.030319 -186.869781	9.153 -11.339 -98.227	auto_ammo 2
ttt_random_weapon	345.362793 266.410095 -250.872025	9.149 -11.294 -97.937	auto_ammo 2
ttt_random_weapon	330.388153 213.974030 -250.873856	9.109 -11.239 -97.580	auto_ammo 2
ttt_random_weapon	286.891083 257.518951 -250.871536	9.158 -11.308 -98.030	auto_ammo 2
ttt_random_weapon	-305.787140 107.692322 -122.874725	9.095 -17.488 -97.452	auto_ammo 2
ttt_random_weapon	-277.178955 105.441132 -122.867050	9.036 -10.520 -98.117	auto_ammo 2
ttt_random_weapon	-310.740173 81.660507 -122.868126	9.144 -11.367 -98.402	auto_ammo 2
ttt_random_weapon	21.406166 99.645851 -122.880493	9.292 -14.787 -97.476	auto_ammo 2
ttt_random_weapon	62.027279 87.437126 -122.870468	9.124 -11.312 -98.031	auto_ammo 2
ttt_random_weapon	12.802155 90.943748 -122.876671	9.248 -36.710 -97.753	auto_ammo 2
ttt_random_weapon	-967.665283 327.027405 -186.887207	9.120 -11.252 -98.252	auto_ammo 2
ttt_random_weapon	-834.498535 313.128571 -188.168106	6.298 -3.663 -58.936	auto_ammo 2
ttt_random_weapon	-706.061218 315.358673 -186.523361	-3.411 -24.065 -97.188	auto_ammo 2
ttt_random_weapon	-580.986877 327.115997 -186.890961	9.128 -11.284 -98.468	auto_ammo 2
ttt_random_weapon	-467.509735 370.560486 -186.870789	9.104 -11.151 -97.917	auto_ammo 2
ttt_random_weapon	-1576.357544 166.877670 -82.877670	9.210 -11.233 -97.504	auto_ammo 2
ttt_random_weapon	-1598.782227 335.900635 -82.876816	9.183 -11.234 -97.505	auto_ammo 2
ttt_random_weapon	-1709.661011 330.403931 -82.880241	9.314 -11.243 -97.581	auto_ammo 2
ttt_random_weapon	-1889.032471 203.378281 -82.866585	9.102 -11.413 -98.433	auto_ammo 2
ttt_random_weapon	-1876.560547 333.290131 -82.871803	9.124 -11.296 -97.870	auto_ammo 2
ttt_random_weapon	-752.485046 190.362671 -50.879349	9.271 -11.235 -97.530	auto_ammo 2
ttt_random_weapon	-763.763367 383.913055 -50.878117	9.224 -11.232 -97.503	auto_ammo 2
ttt_random_weapon	-462.242523 104.462860 -122.870407	9.126 -11.314 -98.045	auto_ammo 2
ttt_random_weapon	-804.301147 101.631317 -122.868210	9.105 -11.342 -98.235	auto_ammo 2
ttt_random_weapon	-950.682373 103.809341 -122.872635	9.108 -11.263 -97.715	auto_ammo 2
ttt_random_weapon	-1845.173706 332.141693 197.129517	9.107 -11.158 -97.965	auto_ammo 2
ttt_random_weapon	-1795.033813 314.800354 197.134460	9.125 -11.266 -98.669	auto_ammo 2
ttt_random_weapon	-1593.218384 342.141479 197.128876	9.089 -10.643 -97.823	auto_ammo 2
item_ammo_smg1_ttt	-1746.406738 161.626953 0.475186	0.563 -0.063 0.260
item_ammo_smg1_ttt	-1764.095337 164.317322 0.436340	-0.016 -0.033 0.033
weapon_zm_molotov	-2273.421143 323.339600 192.164841	-0.700 -1.338 -0.408
weapon_zm_molotov	-2120.256104 341.221497 192.150772	-0.850 -1.319 -0.495
weapon_zm_molotov	-1999.691895 283.302063 234.101501	26.124 12.274 90.797
weapon_zm_molotov	-1879.969482 219.413834 192.209412	-0.226 -1.371 -0.132
weapon_zm_molotov	-1946.409302 139.332397 192.099792	-1.394 -1.219 -0.812
weapon_zm_molotov	-2098.113525 162.070892 192.153122	-0.825 -1.322 -0.481
weapon_zm_molotov	-2321.665771 179.010696 192.114578	-1.236 -1.239 -0.720
weapon_zm_molotov	-1363.926880 309.810577 192.107407	-1.313 -1.213 -0.765
weapon_zm_molotov	-103.081039 228.767639 0.165805	-0.690 -1.338 -0.402
weapon_zm_molotov	-107.710281 243.392349 0.157603	-0.778 -1.330 -0.453
item_box_buckshot_ttt	549.140503 268.616852 -191.625839	0.751 -0.022 -0.519
item_box_buckshot_ttt	532.749878 269.876831 -191.630798	0.778 0.008 -0.542
ttt_random_ammo	-1047.463501 235.180008 40.437065	1.316 0.032 1.601
ttt_random_ammo	-1045.862793 278.581879 40.392941	0.723 0.007 0.825
ttt_random_ammo	-1045.803833 254.519836 40.344597	0.049 0.000 -0.019
ttt_random_ammo	-936.713867 307.833801 40.380974	0.195 0.001 0.178
ttt_random_ammo	-885.098511 260.088470 40.380989	0.193 0.001 0.175
ttt_random_ammo	-890.742188 227.726852 40.377823	0.154 0.001 0.126
ttt_random_ammo	-917.695068 201.068573 40.418694	1.664 0.036 2.017
ttt_random_ammo	277.962372 176.751541 64.337646	0.047 0.000 -0.025
ttt_random_ammo	278.889984 212.373505 64.368637	-0.084 -0.000 0.036
ttt_random_ammo	275.120544 310.161835 64.369476	0.236 0.281 0.514
ttt_random_ammo	283.606659 339.355194 64.377823	0.153 0.001 0.125
ttt_random_ammo	428.228668 168.851974 32.447495	1.023 0.027 1.239
ttt_random_ammo	426.147919 207.668716 32.351219	0.053 -0.000 0.011
ttt_random_ammo	419.867645 184.627167 32.325348	0.047 -0.000 0.032
ttt_random_ammo	422.102325 209.734161 96.434242	1.351 0.033 1.641
ttt_random_ammo	422.723114 179.350494 96.342331	0.048 -0.000 0.022
ttt_random_ammo	417.888428 321.382751 64.340012	0.047 -0.000 0.023
ttt_random_ammo	426.716187 344.676910 64.339996	0.047 0.000 -0.023
ttt_random_ammo	721.774719 170.967728 -159.373260	0.031 0.000 -0.035
ttt_random_ammo	693.400391 153.778412 -159.274887	-1.408 -0.037 1.706
ttt_random_ammo	568.878479 147.713577 -159.359528	-0.058 -0.000 0.006
ttt_random_ammo	570.739014 174.131012 -159.391724	0.042 -0.000 0.030
ttt_random_ammo	587.965637 160.268753 -159.356583	-0.017 0.000 0.043
ttt_random_ammo	807.603088 85.458092 -151.621658	-0.137 -0.000 0.105
ttt_random_ammo	682.632568 82.034599 -151.532150	-0.926 -0.025 1.124
ttt_random_ammo	604.360229 82.521217 -151.612137	-0.251 -0.001 0.247
ttt_random_ammo	542.680298 429.106293 -151.664001	-0.047 -0.000 -0.027
ttt_random_ammo	595.239441 427.078613 -151.593079	-0.857 -0.009 0.989
ttt_random_ammo	723.682983 429.328888 -151.641525	-0.061 -0.000 0.001
ttt_random_ammo	816.418213 343.158569 -159.317688	-0.868 -0.010 1.007
weapon_ttt_glock	-1505.512817 164.223511 209.063797	-0.648 33.501 90.369
weapon_ttt_glock	-1569.388428 126.114464 208.287399	28.209 9.405 31.004
weapon_ttt_glock	-1704.971191 352.077301 225.109131	-0.640 28.354 91.140
weapon_ttt_glock	-1652.841064 373.429443 225.107437	-0.526 28.352 90.927
weapon_ttt_glock	-1688.947998 386.143372 225.111374	-0.792 28.366 91.424
weapon_ttt_glock	-1659.788452 345.923889 225.111649	-0.811 28.375 91.459
item_ammo_revolver_ttt	-225.506958 390.660034 208.353577	0.455 0.060 0.047
item_ammo_revolver_ttt	-174.658875 385.575165 208.321671	0.448 0.068 0.059
item_ammo_revolver_ttt	-2415.958252 235.706940 224.421692	0.468 0.053 0.020
item_ammo_revolver_ttt	-2412.583984 271.194977 224.346283	0.453 0.061 0.050
weapon_zm_pistol	-1687.131104 344.359772 224.863281	0.376 -36.697 -88.492
weapon_zm_pistol	-1674.015503 365.032135 224.962723	0.070 -36.676 -89.555
weapon_zm_pistol	-1699.822388 370.502289 224.834427	0.464 -36.673 -88.184
weapon_zm_pistol	-1661.755127 355.012054 224.900497	0.262 -36.709 -88.890
item_ammo_pistol_ttt	1529.227173 280.660645 0.388696	-0.096 -0.020 -0.029
item_ammo_pistol_ttt	1522.456055 246.639282 0.374685	0.350 -0.247 0.009
item_ammo_pistol_ttt	-1489.232422 195.472855 192.376419	-0.107 -0.019 -0.032
item_ammo_pistol_ttt	-1497.240723 193.616760 192.338196	-0.140 -0.019 -0.043
item_ammo_pistol_ttt	-1587.922485 123.231865 192.423309	-0.066 -0.020 -0.020
item_ammo_pistol_ttt	-1597.740601 127.621231 192.408325	-0.079 -0.020 -0.024
item_ammo_pistol_ttt	-1714.440186 233.577179 208.385391	0.069 0.026 -0.016
item_ammo_pistol_ttt	-1711.946655 266.954376 208.451080	-0.011 -2.279 0.518
