# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_avalon
# Exported by: amber
setting:	replacespawns 0
weapon_ttt_smokegrenade	-734.433105 -118.582001 718.159546	-1.503 -1.457 -1.530
weapon_ttt_smokegrenade	-722.703613 -107.687225 718.158447	-1.525 -1.456 -1.553
weapon_ttt_smokegrenade	-713.800293 -98.714775 718.140381	-1.911 -1.293 -1.947
weapon_ttt_smokegrenade	-702.876282 -87.132515 718.165588	-1.373 -1.484 -1.398
ttt_random_weapon	321.392059 -973.008728 71.697388	2.787 3.646 -92.201
ttt_random_weapon	528.042358 -940.038025 67.819885	1.691 3.688 -92.143
ttt_random_weapon	484.824310 -974.143860 67.870750	2.856 3.656 -92.042
ttt_random_weapon	370.962036 -1008.812317 69.842148	2.909 3.663 -91.920
ttt_random_weapon	843.056213 1405.712158 605.545776	1.913 10.213 -92.125
ttt_random_weapon	337.516510 -97.260963 1057.190186	1.760 4.771 -92.861
ttt_random_weapon	294.560394 -94.284775 1057.184082	1.830 4.776 -92.702
ttt_random_weapon	-209.190674 -466.907867 345.202057	1.852 4.778 -92.649
ttt_random_weapon	-210.373245 -443.410706 345.218872	1.663 4.765 -93.084
ttt_random_weapon	-208.794235 -416.311615 345.214600	1.711 4.769 -92.973
ttt_random_weapon	-62.058388 -410.883698 345.215607	1.700 4.768 -92.999
ttt_random_weapon	-62.092716 -428.419250 345.211426	1.747 4.771 -92.891
ttt_random_weapon	-62.580879 -454.287018 345.222595	1.621 4.762 -93.180
ttt_random_weapon	163.271347 -37.448498 379.010834	1.590 3.643 -93.826
ttt_random_weapon	163.364273 -66.819817 379.011169	1.590 2.683 -93.830
ttt_random_weapon	-902.750793 1044.647949 66.509506	-0.483 4.945 -94.163
ttt_random_weapon	-942.863525 1024.102417 65.544861	1.843 1.335 -93.684
ttt_random_weapon	-275.556458 946.162415 98.097519	-2.666 21.822 67.224
ttt_random_weapon	-296.959991 932.732361 99.894531	12.732 2.333 -94.155
ttt_random_weapon	94.351379 206.794876 209.206253	1.805 4.928 -92.758
ttt_random_weapon	93.032104 195.751556 209.207504	1.791 4.928 -92.791
ttt_random_weapon	-453.504425 648.412415 212.493317	2.874 0.645 -6.300
ttt_random_weapon	131.431641 -246.692093 211.010880	1.377 3.562 -93.574
ttt_random_weapon	78.940102 -255.473801 211.027206	1.376 3.884 -93.573
ttt_random_weapon	-321.308258 -207.758911 217.656799	1.289 3.799 -94.174
ttt_random_weapon	-495.610474 -215.278534 210.896149	1.043 3.203 -93.862
ttt_random_weapon	-480.807159 -177.100357 210.965775	1.058 3.110 -93.857
