# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_christmas_bungalow
# Exported by: ogreWarrior
setting:	replacespawns 1
weapon_ttt_smokegrenade	173.171768 131.047424 0.155404	-0.746 -1.696 -1.137
weapon_ttt_smokegrenade	272.186127 -383.468201 0.139711	-1.680 -0.402 -1.171
weapon_ttt_smokegrenade	-297.858459 -84.840866 280.140656	-0.892 -1.606 -1.362
weapon_ttt_smokegrenade	-297.958130 -36.212631 280.124573	-1.052 -1.485 -1.608
weapon_ttt_smokegrenade	361.069702 95.984062 276.144592	-0.853 -1.651 -1.302
ttt_random_weapon	-379.077148 365.009369 145.214310	1.692 5.719 -93.101
ttt_random_weapon	-279.534332 204.850891 145.205063	1.791 5.713 -92.898
ttt_random_weapon	118.408546 438.977448 9.210836	1.753 4.772 -92.877
ttt_random_weapon	138.943222 857.003113 3.196125	1.919 4.718 -92.497
ttt_random_weapon	48.482185 134.110046 30.191090	1.276 5.195 -94.033
ttt_random_weapon	640.893921 -448.513336 1.199893	1.876 4.780 -92.594
ttt_random_weapon	171.349503 -665.933655 23.081642	-0.504 -16.304 88.310
ttt_random_weapon	-246.988205 -667.329529 23.001669	-1.130 -7.249 89.113
ttt_random_weapon	30.615019 -157.614502 -6.797269	1.844 4.778 -92.667
ttt_random_weapon	-232.479492 355.885559 88.402229	1.323 -1.388 -94.491
ttt_random_weapon	38.241249 721.557068 18.157610	1.230 2.205 -93.669
ttt_random_weapon	123.315033 697.551208 18.038212	1.624 4.863 -93.485
ttt_random_weapon	724.120483 729.047485 18.446157	-0.328 3.257 -91.810
ttt_random_weapon	697.775757 674.742554 15.966157	-2.671 -13.805 -95.840
ttt_random_weapon	654.403503 768.166382 19.246042	0.285 3.996 -91.837
item_ammo_smg1_ttt	581.611084 525.810791 6.140792	0.179 -0.038 1.049
item_ammo_smg1_ttt	-21.350800 593.274963 144.417953	0.380 -0.005 0.243
item_ammo_smg1_ttt	195.391083 847.220886 2.417962	-0.375 0.005 0.240
item_ammo_smg1_ttt	-152.152969 341.927216 0.498893	-0.851 0.013 -0.638
item_ammo_smg1_ttt	-338.173889 367.343567 144.481232	0.374 0.001 -0.360
item_ammo_smg1_ttt	-340.437408 -210.150467 196.396729	-0.318 -0.009 -0.223
item_ammo_smg1_ttt	-445.940491 -225.802811 192.489639	-0.778 -0.010 0.588
weapon_ttt_m16	-120.377953 366.197449 144.843277	2.184 -6.176 84.045
weapon_ttt_m16	-40.927349 555.646912 144.839188	2.115 -5.967 84.046
weapon_ttt_m16	332.242340 782.005371 -15.149988	2.089 -5.533 83.750
weapon_ttt_m16	-169.986832 -160.672073 -7.151398	2.093 -5.965 83.983
weapon_ttt_m16	405.952667 -136.865128 196.843918	2.104 -5.966 84.014
weapon_ttt_m16	114.682144 615.201416 196.840103	2.113 -5.966 84.040
weapon_ttt_m16	344.463501 -375.223694 0.897626	2.182 -6.695 84.361
item_box_buckshot_ttt	213.130615 143.861526 0.426759	0.766 -0.006 0.634
item_box_buckshot_ttt	232.589767 147.763062 0.376405	-0.352 0.003 -0.232
item_box_buckshot_ttt	-209.605637 187.777496 52.383320	-0.615 -0.005 0.584
item_box_buckshot_ttt	-98.810181 127.974190 276.373657	0.036 0.044 -0.034
item_box_buckshot_ttt	359.255798 160.580765 276.395660	-0.009 0.018 -0.040
item_box_buckshot_ttt	-118.542030 204.085587 18.433386	0.313 -0.127 -0.007
item_box_buckshot_ttt	-124.948135 212.556519 34.512428	-0.000 -2.537 0.000
item_box_buckshot_ttt	-121.950432 352.135406 18.376951	0.476 0.019 -0.298
item_box_buckshot_ttt	-113.455635 251.911804 18.506468	1.149 0.405 0.937
item_box_buckshot_ttt	55.368881 256.708466 29.462200	0.050 1.343 -0.021
item_box_buckshot_ttt	36.560917 265.789612 29.462067	-0.042 0.809 -0.011
ttt_random_ammo	-82.427612 81.441765 144.406357	0.125 0.271 0.349
ttt_random_ammo	-419.646210 144.756653 144.399994	0.408 0.000 0.122
ttt_random_ammo	-407.002106 170.827484 144.372742	0.106 0.000 0.066
ttt_random_ammo	-407.447510 370.463806 144.361481	0.064 0.000 0.010
ttt_random_ammo	-51.882004 599.911255 144.387726	-0.240 -0.001 0.234
ttt_random_ammo	277.534027 597.156494 144.383926	-0.186 -0.001 0.168
ttt_random_ammo	353.107086 732.510864 144.338562	0.021 0.000 -0.060
ttt_random_ammo	776.616516 519.976074 144.369461	-0.128 0.000 -0.224
ttt_random_ammo	549.941895 564.872009 11.100575	-2.349 -1.929 8.930
ttt_random_ammo	142.255814 401.385437 8.348999	0.050 0.000 -0.014
ttt_random_ammo	88.514786 400.804749 8.367272	0.081 -0.000 -0.032
ttt_random_ammo	215.978989 879.793823 2.327846	0.047 0.000 -0.031
ttt_random_ammo	55.759033 152.222137 29.446402	-0.014 0.621 0.320
ttt_random_ammo	19.392481 262.325989 -7.484045	-0.400 -10.947 0.004
ttt_random_ammo	-140.116547 375.538513 0.453462	-0.021 0.211 -1.083
ttt_random_ammo	-138.440948 355.009735 0.380980	0.193 0.001 0.175
ttt_random_ammo	-137.030853 324.976257 0.330357	0.047 0.000 -0.030
ttt_random_ammo	-52.616455 32.927311 -7.635423	-0.070 -0.000 0.017
ttt_random_ammo	238.368851 69.663773 144.351944	-0.051 -0.000 -0.011
ttt_random_ammo	224.928864 79.070045 144.466385	-0.758 -0.023 0.906
ttt_random_ammo	475.997406 371.387726 144.335205	0.046 0.000 -0.027
ttt_random_ammo	-407.264526 131.361893 -31.657770	0.046 0.000 -0.021
ttt_random_ammo	528.932617 371.033112 144.394455	0.908 0.010 1.051
ttt_random_ammo	552.950745 370.984039 144.383972	0.238 0.001 0.232
ttt_random_ammo	-203.900330 -205.924774 278.337921	-0.203 -0.046 0.182
ttt_random_ammo	-90.565399 -154.665665 280.376099	0.132 -0.000 -0.099
ttt_random_ammo	152.041611 141.359482 280.382507	0.210 0.001 0.197
ttt_random_ammo	238.804047 94.964096 278.350098	-0.080 -0.188 -0.172
ttt_random_ammo	-191.343277 94.930344 278.314758	0.047 -0.000 0.036
ttt_random_ammo	-86.593246 157.295914 278.394226	-0.049 -0.068 -0.159
ttt_random_ammo	656.892883 -479.372498 0.356298	-0.056 -0.000 -0.004
ttt_random_ammo	601.330933 -467.239105 0.387753	-0.242 -0.001 0.237
ttt_random_ammo	354.698029 -53.350002 144.351181	0.052 -0.000 0.011
ttt_random_ammo	-311.393768 -321.432983 -31.657770	0.046 0.000 -0.021
ttt_random_ammo	724.190979 224.646957 144.396072	-0.877 0.007 -1.121
ttt_random_ammo	766.456360 243.714005 144.378403	-0.039 0.096 -0.061
ttt_random_ammo	780.336182 287.013855 144.380325	-0.303 -0.001 0.431
ttt_random_ammo	712.025940 316.851715 32.407291	0.168 0.113 -0.248
ttt_random_ammo	-128.707962 -422.276672 144.335190	0.045 -0.000 0.026
ttt_random_ammo	-161.041992 -424.969269 144.348984	0.049 -0.000 0.014
ttt_random_ammo	135.389420 -531.422180 21.766731	-0.466 -7.125 -4.376
ttt_random_ammo	184.625015 -529.193604 21.523678	0.202 0.352 -5.608
ttt_random_ammo	204.249313 -670.112427 21.581102	1.024 -14.978 3.923
ttt_random_ammo	327.145905 799.700867 -15.622392	-0.573 -0.229 -1.373
ttt_random_ammo	383.101196 755.995422 -15.623811	0.129 0.000 0.096
ttt_random_ammo	-4.642666 -159.147888 -7.569838	1.306 0.032 1.572
ttt_random_ammo	-134.582809 -163.253571 -7.644579	0.056 -0.000 0.004
ttt_random_ammo	-147.195709 186.944656 52.357452	0.057 0.000 -0.000
ttt_random_ammo	736.482056 684.277161 21.696184	-9.334 0.995 -11.164
ttt_random_ammo	686.596313 715.913269 16.848377	-1.876 -1.189 4.865
ttt_random_ammo	691.316589 774.273987 18.844944	0.130 0.040 2.706
ttt_random_ammo	622.134155 751.126160 17.200130	-0.331 -0.304 2.670
ttt_random_ammo	152.482712 -188.973373 280.389191	0.402 0.002 0.434
ttt_random_ammo	152.593323 -224.473755 280.322693	0.046 0.000 -0.033
ttt_random_ammo	-70.786438 -179.633102 144.340942	0.236 0.062 -0.161
ttt_random_ammo	-54.559681 -181.170563 144.346756	0.048 0.000 -0.017
ttt_random_ammo	388.251038 -458.256348 144.357483	0.058 0.000 0.000
ttt_random_ammo	557.969482 541.595825 144.362091	0.067 -0.000 -0.154
ttt_random_ammo	446.442566 596.948669 144.329254	-0.033 -0.000 -0.051
ttt_random_ammo	-86.623085 371.471710 144.372421	-0.094 -0.000 0.051
weapon_zm_rifle	358.414856 723.809937 143.094925	3.691 7.244 65.054
weapon_zm_rifle	150.468155 -35.658504 279.120667	3.624 12.653 65.122
weapon_zm_rifle	-135.220734 -214.970581 277.101624	3.670 12.652 65.031
weapon_zm_rifle	402.046051 -471.596191 143.108246	3.654 12.652 65.063
weapon_zm_mac10	493.897552 620.873291 1.532221	-7.372 -44.748 -84.412
weapon_zm_mac10	613.022339 465.439697 3.709371	22.524 -41.020 -73.651
weapon_zm_mac10	-49.658573 582.207214 145.281250	-0.412 -53.905 -88.333
weapon_zm_mac10	-73.196808 -161.109344 -6.734118	-0.588 -53.916 -88.391
weapon_zm_mac10	-154.206802 365.852020 1.259029	-0.343 -47.612 -88.847
weapon_zm_mac10	-119.513298 249.067154 7.261997	0.616 3.937 -88.281
weapon_zm_mac10	-118.071831 323.029144 35.269985	-0.275 -32.667 -88.039
ttt_playerspawn	331.554626 -471.061279 145.511810	-0.036 -0.000 0.036
ttt_playerspawn	423.386139 101.270531 145.531754	-0.027 -0.000 0.027
ttt_playerspawn	348.361847 -210.351181 145.551834	-0.199 -0.122 -0.046
ttt_playerspawn	352.863892 559.208252 145.485687	-0.012 -0.000 0.012
ttt_playerspawn	-397.397980 324.016266 145.528473	-0.007 -0.000 0.007
ttt_playerspawn	101.902550 224.935806 145.465240	-0.013 -0.000 0.013
ttt_playerspawn	234.194214 108.518776 1.532101	0.145 -0.108 -0.032
ttt_playerspawn	-200.282898 -124.498085 -6.496533	-0.039 -0.000 0.039
ttt_playerspawn	-198.664276 -58.302944 -6.492263	-0.037 -0.000 0.037
ttt_playerspawn	-198.504105 -1.081361 -6.486862	-0.035 -0.000 0.035
ttt_playerspawn	-394.359650 100.409836 -30.549751	0.015 0.000 0.015
ttt_playerspawn	-300.402954 -297.521362 -30.534752	-0.013 -0.000 0.013
ttt_playerspawn	-214.941833 -625.973633 1.525910	-0.071 -0.000 0.071
ttt_playerspawn	8.281010 -452.628662 1.556235	0.042 0.000 0.042
ttt_playerspawn	284.066498 -328.981232 1.566732	-0.069 -0.104 0.001
ttt_playerspawn	316.695435 599.702881 -14.526651	-0.051 -0.000 0.051
ttt_playerspawn	-208.561554 256.675415 1.565616	-0.033 -0.000 0.033
ttt_playerspawn	-202.831436 330.635132 1.529186	-0.068 -0.000 0.068
ttt_playerspawn	-25.526354 344.684021 -6.524945	-0.012 0.000 -0.012
ttt_playerspawn	-39.589127 703.930298 1.551733	-0.019 -0.000 0.019
ttt_playerspawn	81.349861 775.118225 1.480767	-0.048 -0.000 0.048
ttt_playerspawn	576.541077 -137.384354 1.536705	-0.025 -0.000 0.025
ttt_playerspawn	415.800385 -383.766235 1.486043	-0.046 -0.000 0.046
ttt_playerspawn	88.209801 -599.114014 1.554042	-0.203 -0.135 -0.057
ttt_playerspawn	-307.922394 -316.540405 145.527512	-0.029 -0.000 0.029
ttt_playerspawn	-212.840698 -207.306396 145.531998	-0.148 -0.207 -0.094
ttt_playerspawn	-403.112396 -118.058029 -30.524960	-0.012 -0.000 0.012
ttt_playerspawn	-401.829224 -3.627307 -30.524960	-0.012 -0.000 0.012
ttt_playerspawn	282.085083 -87.113792 1.511818	-0.036 -0.000 0.036
ttt_playerspawn	22.350920 566.769470 145.528595	-0.029 -0.000 0.029
ttt_playerspawn	-154.078369 148.987503 145.534164	-0.144 0.283 0.016
ttt_playerspawn	233.927444 -376.060150 145.578918	-0.070 -0.103 -0.014
item_ammo_357_ttt	335.329224 693.799866 144.369766	0.421 0.150 0.042
item_ammo_357_ttt	370.980927 695.092041 144.415359	0.447 0.149 0.023
item_ammo_357_ttt	366.523041 -478.829376 144.348236	0.454 0.064 0.048
item_ammo_357_ttt	-7.407889 -40.971043 280.365356	0.457 0.060 0.041
item_ammo_357_ttt	-91.943405 -39.655479 280.385376	0.461 0.057 0.033
item_ammo_357_ttt	-122.083374 311.417267 18.339142	0.464 0.066 0.047
item_ammo_357_ttt	-102.722900 308.325562 52.339142	0.464 0.066 0.047
item_ammo_pistol_ttt	-33.837795 571.183655 144.374557	-0.108 -0.019 -0.033
item_ammo_pistol_ttt	-57.512730 569.014771 144.376419	-0.107 -0.019 -0.032
item_ammo_pistol_ttt	89.667801 851.152344 2.414898	-0.073 -0.020 -0.022
item_ammo_pistol_ttt	427.604919 -139.935867 196.444214	-0.046 -0.012 -0.027
item_ammo_pistol_ttt	379.960083 -157.784409 144.367020	0.026 0.031 0.004
item_ammo_pistol_ttt	-118.142982 276.911102 18.352112	-0.128 -0.019 -0.039
item_ammo_pistol_ttt	-114.788429 363.213928 18.370754	-0.112 -0.019 -0.034
item_ammo_pistol_ttt	-114.723541 327.217834 18.385324	-0.099 -0.020 -0.030
item_ammo_pistol_ttt	-100.653328 222.390167 52.406940	-0.080 -0.020 -0.024
item_ammo_pistol_ttt	218.595917 -530.251038 144.449478	0.148 -0.057 -0.018
item_ammo_pistol_ttt	86.403412 873.249756 78.328445	0.033 0.028 0.005
item_ammo_pistol_ttt	-53.149117 629.514648 82.214447	-0.199 12.095 0.159
item_ammo_pistol_ttt	-43.985790 641.147400 82.243645	0.069 5.013 -0.134
item_ammo_pistol_ttt	-339.319916 -178.244232 196.356476	-0.124 -0.019 -0.037
item_ammo_pistol_ttt	725.202148 709.380188 17.525202	-10.924 -0.383 1.737
item_ammo_pistol_ttt	655.294189 736.765686 17.291965	-1.650 0.745 4.001
item_ammo_pistol_ttt	365.635834 -367.540833 0.426756	0.014 0.031 0.002
item_ammo_pistol_ttt	354.051666 -359.661591 0.362979	0.027 0.031 0.004
item_ammo_pistol_ttt	-391.187897 152.277695 144.345306	-0.134 -0.019 -0.040
weapon_zm_molotov	-233.525375 274.744080 144.121307	-1.164 -1.249 -0.678
weapon_zm_molotov	134.153564 61.030285 196.140640	-0.892 -1.606 -1.362
weapon_zm_molotov	-56.095409 538.307129 144.135117	-0.948 -1.604 -1.447
weapon_zm_molotov	280.995758 -369.461700 1.650109	18.624 40.709 -90.417
weapon_zm_molotov	-323.609009 -148.645554 144.170456	-0.597 -1.731 -0.908
weapon_zm_molotov	-298.809326 -10.702440 280.136536	-3.157 -0.149 0.316
weapon_zm_molotov	-298.831207 -60.736099 280.138519	-3.089 -0.129 0.271
weapon_zm_molotov	-299.111755 -104.175323 280.153168	-3.948 0.386 0.309
weapon_zm_molotov	633.783447 -476.181824 0.139300	-0.906 -1.607 -1.383
weapon_ttt_confgrenade	132.424149 76.567482 146.141266	-37.458 -49.124 -91.363
weapon_ttt_confgrenade	264.441956 -376.247894 2.178396	-38.557 -54.445 -93.636
weapon_ttt_confgrenade	-329.980591 -137.804077 146.126862	-36.322 -55.438 -90.762
weapon_ttt_confgrenade	90.256027 -168.829926 198.288101	37.041 -37.155 -89.709
item_ammo_revolver_ttt	-404.549438 147.820282 -31.631147	0.467 0.059 0.037
item_ammo_revolver_ttt	-377.169189 163.018967 -31.655045	0.465 0.064 0.045
item_ammo_revolver_ttt	-213.640579 -668.273254 21.643091	0.361 -0.135 4.085
item_ammo_revolver_ttt	-120.553688 275.730927 34.346836	0.465 0.064 0.045
item_ammo_revolver_ttt	-123.012924 289.565155 34.341110	0.464 0.066 0.047
item_ammo_revolver_ttt	-116.964417 238.097198 18.373346	0.468 0.059 0.035
item_ammo_revolver_ttt	219.786179 -514.460999 144.374451	0.459 0.059 0.038
item_ammo_revolver_ttt	233.575134 -531.246521 144.358810	0.456 0.062 0.044
item_ammo_revolver_ttt	-169.342255 -437.218933 192.331619	0.704 -0.087 -0.088
item_ammo_revolver_ttt	-137.737946 -436.982452 192.337646	0.462 -0.092 -0.003
item_ammo_revolver_ttt	189.548889 872.448975 78.338654	0.452 0.066 0.052
weapon_zm_shotgun	242.791290 161.883682 22.795635	-0.993 -8.442 -88.838
weapon_zm_shotgun	-175.424301 182.114746 53.071018	-0.299 -9.565 -83.930
weapon_zm_shotgun	-145.284119 116.860374 279.104675	-0.134 -7.693 -85.953
weapon_zm_shotgun	37.438423 272.120026 30.117805	-0.612 -8.006 -85.238
weapon_zm_sledge	443.078339 420.244781 -2.256192	12.792 0.641 2.675
weapon_zm_sledge	220.546677 -268.514679 35.084812	18.554 2.018 3.375
weapon_zm_sledge	417.089172 -460.721771 141.804291	18.271 0.884 2.975
weapon_zm_revolver	-403.480408 158.338547 -31.029552	1.855 -19.164 -86.048
weapon_zm_revolver	730.286011 314.445953 32.970280	1.724 -24.405 -86.275
weapon_zm_revolver	-157.302658 -439.108063 192.970459	1.852 -20.629 -86.052
weapon_zm_revolver	-55.278564 -169.380692 196.970459	1.871 -20.628 -86.020
weapon_ttt_glock	745.944153 263.327637 197.112274	-0.602 25.071 91.457
weapon_ttt_glock	-213.890884 159.504517 279.745819	9.694 51.696 105.017
weapon_ttt_glock	-116.430443 371.738098 35.113270	-1.083 25.003 91.721
weapon_ttt_glock	-115.422295 356.515472 35.105366	-0.220 26.463 90.616
weapon_ttt_glock	-40.636921 626.821472 82.883583	-0.718 50.059 91.192
weapon_ttt_glock	-343.505066 -156.988541 197.110855	-0.744 25.647 91.356
weapon_zm_pistol	504.235931 367.561859 144.815399	0.504 -36.202 -87.973
weapon_zm_pistol	104.110573 -488.860413 144.847809	0.801 -35.601 -88.488
weapon_zm_pistol	-400.886414 131.164215 144.978622	0.346 -36.662 -90.389
weapon_zm_pistol	367.380219 299.190277 144.867157	0.689 -35.603 -88.672
weapon_zm_pistol	-116.270111 238.078842 6.926838	0.001 -48.093 -89.095
weapon_zm_pistol	-117.049843 230.919754 6.885231	-0.022 -34.088 -90.017
weapon_zm_pistol	-115.953545 292.558075 6.856959	0.311 -47.049 -88.457
weapon_zm_pistol	-425.705994 -17.550066 192.950989	0.314 37.819 89.838
