# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_minecraftcity_v4
# Exported by: amber
setting:	replacespawns 0
weapon_ttt_smokegrenade	-907.380615 -815.463013 208.164612	-1.394 -1.486 -1.419
weapon_ttt_smokegrenade	-839.012451 -877.984253 208.170242	-1.274 -1.504 -1.296
weapon_ttt_smokegrenade	-738.259277 -703.106018 208.182983	-1.002 -1.542 -1.019
weapon_ttt_smokegrenade	-826.398315 -657.011108 208.156281	-1.572 -1.414 -1.600
weapon_ttt_smokegrenade	-594.741333 -841.129028 208.155167	-1.595 -1.415 -1.625
weapon_ttt_smokegrenade	-615.735046 -866.018127 208.140396	-1.911 -1.293 -1.947
weapon_ttt_smokegrenade	-11.528140 -1346.783081 480.178741	-0.514 -1.743 -0.781
weapon_ttt_smokegrenade	-74.127792 -1266.115601 480.136505	-0.933 -1.615 -1.425
weapon_ttt_smokegrenade	-247.145004 -1311.707764 480.150757	-0.792 -1.677 -1.208
weapon_ttt_smokegrenade	-85.647255 -1375.428955 480.117981	-1.128 -1.329 -1.701
weapon_ttt_smokegrenade	-260.901459 -1434.256348 480.183838	-0.464 -1.747 -0.703
weapon_ttt_smokegrenade	-272.690002 -1268.691162 480.197632	-0.731 -4.737 -0.474
weapon_ttt_smokegrenade	-265.240540 -1270.277466 482.053009	22.890 42.582 89.794
weapon_ttt_smokegrenade	-306.000366 -1337.528076 480.149567	-0.804 -1.679 -1.226
weapon_ttt_smokegrenade	-224.276505 27.161594 48.152668	-1.669 -1.429 -1.786
weapon_ttt_smokegrenade	-176.126617 13.176707 48.173729	-1.200 -1.521 -1.220
weapon_ttt_smokegrenade	-200.032730 57.022430 48.149338	-1.720 -1.377 -1.752
weapon_ttt_smokegrenade	-147.427200 78.498665 48.178570	-1.097 -1.532 -1.115
weapon_ttt_smokegrenade	-611.821716 -1351.708496 304.162628	-1.436 -1.479 -1.462
weapon_ttt_smokegrenade	-533.792786 -1254.613403 304.145630	-1.799 -1.352 -1.833
weapon_ttt_smokegrenade	-104.278801 -364.112762 48.136257	-2.005 -1.231 -2.034
weapon_ttt_smokegrenade	-168.909317 -321.155487 48.170254	-1.274 -1.504 -1.296
weapon_ttt_smokegrenade	-688.971436 194.826462 48.155170	-1.596 -1.415 -1.625
weapon_ttt_smokegrenade	-810.793823 205.201523 48.140400	-1.911 -1.293 -1.947
weapon_ttt_smokegrenade	-750.983948 159.106964 48.177006	-1.130 -1.532 -1.149
weapon_ttt_smokegrenade	-462.777313 294.332397 160.143051	-1.854 -1.283 -1.889
weapon_ttt_smokegrenade	992.044861 -450.284088 32.167500	-1.333 -1.499 -1.356
weapon_ttt_smokegrenade	1221.853882 -314.243347 32.155170	-1.596 -1.414 -1.625
weapon_ttt_smokegrenade	581.408020 -1409.445679 160.132217	-0.976 -1.572 -1.491
weapon_ttt_smokegrenade	706.693420 -1479.012939 32.122940	-1.147 -1.263 -0.668
ttt_random_weapon	-785.769714 240.012863 52.928616	0.298 -27.173 125.224	auto_ammo 2
ttt_random_weapon	-793.010620 217.010101 52.220890	9.977 -3.319 -69.068	auto_ammo 2
ttt_random_weapon	-779.389404 207.418182 51.727962	3.271 -3.942 -40.981	auto_ammo 2
ttt_random_weapon	-666.807129 206.360184 52.972614	-0.223 40.771 125.405	auto_ammo 2
ttt_random_weapon	-669.839905 234.507828 85.133530	9.121 -13.044 -98.527	auto_ammo 2
ttt_random_weapon	-228.444199 369.086487 69.131004	9.116 -12.970 -98.181	auto_ammo 2
ttt_random_weapon	-227.055679 339.546509 37.121788	9.102 -11.175 -97.743	auto_ammo 2
ttt_random_weapon	-676.673096 -133.609344 83.986732	1.236 2.350 -12.104	auto_ammo 2
ttt_random_weapon	-601.278442 -501.418915 83.842201	-2.612 9.262 -36.453	auto_ammo 2
ttt_random_weapon	-603.419617 -467.972656 51.881207	7.402 -5.044 -60.244	auto_ammo 2
ttt_random_weapon	95.401161 545.104370 325.132141	9.130 -13.003 -98.383	auto_ammo 2
ttt_random_weapon	-513.176453 296.811951 163.881256	7.400 -5.044 -60.244	auto_ammo 2
ttt_random_weapon	-407.883087 284.380615 163.881744	7.375 -5.044 -60.241	auto_ammo 2
ttt_random_weapon	-220.689438 90.900826 51.880520	7.437 -5.045 -60.247	auto_ammo 2
ttt_random_weapon	-228.044556 6.241724 51.879288	7.509 -5.064 -60.258	auto_ammo 2
ttt_random_weapon	1013.563843 -374.816437 37.110966	9.155 -11.997 -97.759	auto_ammo 2
ttt_random_weapon	981.039246 -380.787781 69.133492	8.992 -14.517 -98.016	auto_ammo 2
ttt_random_weapon	1159.055908 -457.248291 69.131584	9.108 -12.923 -98.221	auto_ammo 2
ttt_random_weapon	1157.969482 -425.753998 35.881424	7.541 -5.047 -60.309	auto_ammo 2
ttt_random_weapon	1449.730591 -542.915283 35.883118	7.305 -5.043 -60.234	auto_ammo 2
ttt_random_weapon	1288.228882 -540.455933 35.879787	7.476 -5.049 -60.252	auto_ammo 2
ttt_random_weapon	1212.401001 -211.093323 37.133179	9.138 -13.028 -98.548	auto_ammo 2
ttt_random_weapon	1118.498779 -208.314560 37.132824	9.134 -13.019 -98.488	auto_ammo 2
ttt_random_weapon	478.476013 -817.526428 309.129272	9.115 -12.938 -97.966	auto_ammo 2
ttt_random_weapon	475.921997 -840.814209 277.129730	9.091 -11.114 -97.931	auto_ammo 2
ttt_random_weapon	319.129211 -1434.217529 275.881714	7.378 -5.044 -60.241	auto_ammo 2
ttt_random_weapon	320.461121 -1325.041870 275.880280	7.449 -5.045 -60.249	auto_ammo 2
ttt_random_weapon	318.083771 -1249.641602 275.882019	7.362 -5.044 -60.240	auto_ammo 2
ttt_random_weapon	-89.369888 -1301.993286 485.122833	9.188 -13.255 -97.484	auto_ammo 2
ttt_random_weapon	-129.527054 -1412.012573 485.128113	9.109 -12.915 -97.810	auto_ammo 2
ttt_random_weapon	-199.732925 -1470.024658 485.126831	9.099 -12.834 -97.625	auto_ammo 2
ttt_random_weapon	-277.626862 -1403.682861 485.127899	9.231 -12.865 -98.245	auto_ammo 2
ttt_random_weapon	-307.850372 -1278.921753 485.134033	9.132 -12.994 -98.645	auto_ammo 2
ttt_random_weapon	-221.202759 -1297.833130 485.133179	9.128 -12.974 -98.509	auto_ammo 2
ttt_random_weapon	-250.283340 -1333.233887 485.128479	9.106 -12.870 -97.843	auto_ammo 2
ttt_random_weapon	-556.451538 -1370.062012 307.881805	7.371 -5.044 -60.241	auto_ammo 2
ttt_random_weapon	-556.702271 -1304.092407 307.880157	7.456 -5.047 -60.249	auto_ammo 2
ttt_random_weapon	-762.444397 -646.689453 243.659515	2.151 6.831 -36.632	auto_ammo 2
ttt_random_weapon	-761.968262 -688.698792 211.882034	7.360 -5.044 -60.240	auto_ammo 2
ttt_random_weapon	-894.589722 -882.194275 245.130707	9.130 -14.834 -98.197	auto_ammo 2
ttt_random_weapon	-892.253540 -846.251892 211.880569	7.434 -5.045 -60.247	auto_ammo 2
ttt_random_weapon	-570.211670 -836.538330 243.839828	7.097 -28.532 -59.404	auto_ammo 2
ttt_random_weapon	-113.712059 -294.379272 83.728928	1.851 7.377 -29.928	auto_ammo 2
ttt_random_weapon	-90.436928 -327.950958 51.684456	2.434 -9.236 -37.386	auto_ammo 2
ttt_random_weapon	14.765591 -340.708862 37.134979	9.113 -11.272 -98.688	auto_ammo 2
ttt_random_weapon	-496.484070 937.905273 35.880852	7.420 -5.045 -60.246	auto_ammo 2
ttt_random_weapon	-389.868866 936.776428 35.880154	7.456 -5.047 -60.249	auto_ammo 2
ttt_random_weapon	90.706360 577.172729 163.879593	7.496 -5.051 -60.257	auto_ammo 2
ttt_random_weapon	90.704765 526.555664 163.881897	7.368 -5.044 -60.240	auto_ammo 2
ttt_random_weapon	253.431747 36.169800 37.132854	9.108 -11.225 -98.383	auto_ammo 2
ttt_random_weapon	676.619629 -988.080505 37.114243	9.117 -11.257 -98.283	auto_ammo 2
ttt_random_weapon	1370.934937 -1491.079834 37.133385	9.102 -10.256 -98.429	auto_ammo 2
ttt_random_weapon	1120.941528 -1472.955444 35.881737	7.375 -5.044 -60.241	auto_ammo 2
ttt_random_weapon	567.647583 -1435.701538 165.133072	9.137 -13.026 -98.531	auto_ammo 2
ttt_random_weapon	551.849609 -1489.348511 197.121017	9.296 -12.858 -97.659	auto_ammo 2
ttt_random_weapon	544.803284 -1405.185791 165.131088	9.125 -12.979 -98.226	auto_ammo 2
ttt_random_weapon	108.815430 -1233.449219 341.128998	9.189 -12.898 -98.215	auto_ammo 2
ttt_random_weapon	133.304733 -1257.228271 308.254883	10.175 -6.754 -69.142	auto_ammo 2
ttt_random_weapon	229.126541 -1288.924683 341.134247	9.068 -32.596 -98.405	auto_ammo 2
ttt_random_weapon	197.975479 -1291.295532 309.129669	9.134 -20.081 -98.084	auto_ammo 2
ttt_random_weapon	227.813812 -1390.035767 341.509308	-4.717 -22.339 -97.295	auto_ammo 2
ttt_random_weapon	197.838776 -1408.570923 309.490051	-4.023 -22.710 -96.812	auto_ammo 2
ttt_random_weapon	-320.626129 -1257.377319 309.133453	9.140 -13.035 -98.596	auto_ammo 2
ttt_random_weapon	-443.144653 -958.552124 -299.717987	10.344 -27.107 -69.495	auto_ammo 2
ttt_random_weapon	-329.839539 -983.991333 -300.119476	7.437 -5.045 -60.247	auto_ammo 2
ttt_random_weapon	-335.540192 -1042.329834 -266.863129	9.061 -14.289 -98.730	auto_ammo 2
ttt_random_weapon	-178.526611 -1330.213013 67.763031	10.172 -5.729 -68.929	auto_ammo 2
ttt_random_weapon	-574.140503 -817.586731 -58.871616	9.098 -16.965 -97.799	auto_ammo 2
ttt_random_weapon	-582.922424 -780.999146 -90.866196	9.057 2.332 -99.016	auto_ammo 2
ttt_random_weapon	-1077.283081 -404.294373 -154.869110	9.093 -12.089 -98.080	auto_ammo 2
ttt_random_weapon	-1078.114502 -513.528625 -156.118942	7.410 -5.045 -60.245	auto_ammo 2
ttt_random_weapon	-1100.574707 -454.458069 -156.117493	7.336 -5.043 -60.237	auto_ammo 2
ttt_random_weapon	-1402.071533 -884.003235 -114.871445	9.093 -14.404 -97.800	auto_ammo 2
ttt_random_weapon	-1402.393799 -925.253357 -114.869492	9.142 -13.641 -98.219	auto_ammo 2
ttt_random_weapon	-1460.226807 -1109.492432 -156.117004	7.311 -5.043 -60.235	auto_ammo 2
ttt_random_weapon	-1531.116699 -723.566956 -156.118149	7.370 -5.044 -60.241	auto_ammo 2
ttt_random_weapon	-1537.146973 -682.629272 -122.870430	9.173 -12.852 -98.223	auto_ammo 2
ttt_random_weapon	-1427.559570 -360.719147 -156.120285	7.480 -5.048 -60.253	auto_ammo 2
ttt_random_weapon	-1210.195190 -157.623444 -122.515045	-3.754 -22.510 -96.786	auto_ammo 2
ttt_random_weapon	-1243.475830 -159.918518 -154.879181	9.294 -11.503 -97.630	auto_ammo 2
ttt_random_weapon	-1242.441040 -245.620483 -156.277466	2.946 -10.699 -38.155	auto_ammo 2
ttt_random_weapon	-1210.390381 -252.576340 -123.947563	-1.725 -13.381 -60.729	auto_ammo 2
ttt_random_weapon	-986.951904 -414.010864 37.133141	9.109 -11.231 -98.425	auto_ammo 2
ttt_random_weapon	-981.175171 -154.272110 36.917461	-0.343 -175.035 125.107	auto_ammo 2
ttt_random_weapon	-762.787659 353.421234 37.130833	9.103 -11.183 -98.112	auto_ammo 2
ttt_random_weapon	-632.115906 358.995453 37.130569	9.085 -11.314 -98.008	auto_ammo 2
ttt_random_weapon	780.716736 1003.109863 35.880024	7.462 -5.047 -60.250	auto_ammo 2
ttt_random_weapon	911.133972 1008.866272 35.881775	7.373 -5.044 -60.241	auto_ammo 2
ttt_random_weapon	-330.050201 -1348.182617 485.133514	9.139 -13.036 -98.602	auto_ammo 2
ttt_random_weapon	-334.930725 -1396.770386 485.119507	9.096 -12.835 -97.374	auto_ammo 2
ttt_random_weapon	17.468124 -1259.802734 485.133240	9.143 -13.034 -98.580	auto_ammo 2
ttt_random_weapon	39.628639 -1455.365967 485.133545	9.146 -13.042 -98.631	auto_ammo 2
ttt_random_weapon	-67.670296 -1456.243042 485.130615	9.116 -12.917 -98.134	auto_ammo 2
ttt_random_weapon	-610.035645 -1325.239136 307.881531	7.386 -5.044 -60.242	auto_ammo 2
ttt_random_weapon	-513.258789 -1330.739868 307.879608	7.496 -5.051 -60.258	auto_ammo 2
ttt_random_weapon	-267.066040 49.365555 51.882175	7.353 -5.044 -60.239	auto_ammo 2
ttt_random_weapon	-150.103409 52.486187 51.879841	7.473 -5.048 -60.252	auto_ammo 2
ttt_random_weapon	546.444702 -685.684387 165.133789	9.142 -13.043 -98.649	auto_ammo 2
ttt_random_weapon	550.947327 -719.713196 165.132263	9.133 -13.007 -98.407	auto_ammo 2
ttt_random_weapon	709.892212 -1429.974609 37.134575	9.112 -11.263 -98.632	auto_ammo 2
ttt_random_weapon	1201.842651 -340.576141 35.881855	7.369 -5.044 -60.241	auto_ammo 2
ttt_random_weapon	1002.845459 -205.065262 37.132221	9.126 -13.001 -98.375	auto_ammo 2
ttt_random_weapon	-256.032806 -558.271057 -300.117065	7.315 -5.043 -60.235	auto_ammo 2
ttt_random_weapon	-373.713654 -534.559021 -300.118256	7.376 -5.044 -60.241	auto_ammo 2
ttt_random_weapon	-432.943573 -672.867615 -92.117462	7.335 -5.043 -60.237	auto_ammo 2
ttt_random_weapon	-646.004883 -795.382385 -90.866791	9.141 -13.033 -98.569	auto_ammo 2
ttt_random_weapon	-1050.301636 -645.953979 -156.092728	1.534 4.118 -19.310	auto_ammo 2
ttt_random_weapon	-1050.281372 -850.048706 -154.846878	8.065 -12.886 -98.095	auto_ammo 2
ttt_random_weapon	-1288.110962 -810.107544 -156.118195	7.371 -5.044 -60.241	auto_ammo 2
ttt_random_weapon	-1284.267212 -1144.124390 -156.119049	7.415 -5.045 -60.245	auto_ammo 2
ttt_random_weapon	-1271.896729 -921.911133 -156.119156	7.420 -5.045 -60.246	auto_ammo 2
ttt_random_weapon	-1084.007813 -1145.346680 -154.880661	9.297 -6.134 -97.476	auto_ammo 2
ttt_random_weapon	-857.829346 -569.581970 37.079327	9.434 -1.077 -97.004	auto_ammo 2
ttt_random_weapon	-870.829895 -577.032898 37.046856	9.442 -19.281 -95.010	auto_ammo 2
ttt_random_weapon	-863.242065 -590.831726 35.876862	7.552 -1.653 -57.504	auto_ammo 2
ttt_random_weapon	-864.055298 -555.013184 35.825340	7.035 -7.350 -59.132	auto_ammo 2
ttt_random_weapon	-574.565063 -769.414917 211.872650	7.370 -101.224 -60.083	auto_ammo 2
