# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_shitcity
# Exported by: Shrek Gameplay
setting:	replacespawns 1
weapon_ttt_smokegrenade	-180.450058 261.187134 312.479523	-1.735 -1.403 -1.694
weapon_ttt_smokegrenade	-527.413940 37.486313 64.154037	-1.620 -1.419 -1.649
weapon_ttt_smokegrenade	-522.742798 24.796144 64.162628	-1.436 -1.479 -1.462
weapon_ttt_smokegrenade	413.241577 -323.556793 421.472809	-0.643 -1.723 -0.979
weapon_ttt_smokegrenade	433.296326 -311.499329 64.147049	-2.690 -1.192 -1.937
weapon_ttt_smokegrenade	412.133148 -342.999573 64.155281	-2.420 -1.212 -1.742
weapon_ttt_smokegrenade	260.365540 457.354736 368.155151	-1.595 -1.415 -1.625
ttt_random_weapon	89.433449 343.994385 32.310020	1.282 3.403 -94.318
ttt_random_weapon	72.234276 151.395340 1.194775	1.934 4.924 -92.462
ttt_random_weapon	-49.709091 9.706030 257.850586	1.321 4.959 -94.048
ttt_random_weapon	-114.154602 -26.969765 193.202286	1.850 4.928 -92.656
ttt_random_weapon	232.492477 74.519302 344.431152	2.187 3.377 -92.136
ttt_random_weapon	166.864334 66.882767 391.389923	2.170 3.949 -92.159
ttt_random_weapon	-271.622803 466.763824 105.629395	1.199 3.145 -94.856
ttt_random_weapon	-412.000519 257.812653 145.515167	1.326 4.135 -93.881
ttt_random_weapon	-541.335083 -65.363350 65.199409	1.882 4.926 -92.582
ttt_random_weapon	-632.700745 751.089783 65.207504	1.791 4.928 -92.791
ttt_random_weapon	-576.112488 563.636597 65.193130	1.952 4.926 -92.420
item_ammo_smg1_ttt	146.874893 -92.707047 354.224792	-0.474 0.490 -0.099
item_ammo_smg1_ttt	179.512009 -122.942055 320.523956	-0.667 0.348 -0.175
item_ammo_smg1_ttt	-369.272583 239.126404 336.422302	0.472 -0.004 0.305
item_ammo_smg1_ttt	287.157928 414.924622 320.521729	-0.224 0.015 -0.193
item_ammo_smg1_ttt	287.617035 448.267731 320.530914	-0.170 0.017 -0.149
item_ammo_smg1_ttt	433.606903 161.372971 64.520828	-0.239 0.015 -0.206
item_ammo_smg1_ttt	186.589874 -30.974398 64.512367	-0.289 0.012 -0.248
item_ammo_smg1_ttt	207.402649 -17.563972 64.517120	-0.266 0.014 -0.227
item_ammo_smg1_ttt	-116.674248 -114.551979 -47.586491	-0.299 0.005 0.189
weapon_ttt_m16	-219.766647 485.962769 297.944824	2.030 -4.918 84.851
weapon_ttt_m16	-291.768494 116.568031 353.152802	2.005 -11.571 84.066
weapon_ttt_m16	-353.101227 -29.019268 88.508926	-5.178 -3.795 88.961
weapon_ttt_m16	-313.733856 -182.931198 129.367706	2.298 -6.187 84.093
weapon_ttt_m16	72.427101 -153.462418 320.878235	1.942 -5.950 83.761
item_box_buckshot_ttt	-371.752258 -43.818588 232.619324	-0.054 0.773 -0.027
item_box_buckshot_ttt	-357.253204 -49.796219 232.512985	-0.147 0.460 0.150
item_box_buckshot_ttt	-239.637497 118.235184 223.583176	-0.004 0.119 -0.008
item_box_buckshot_ttt	-225.288864 115.840408 223.583817	-0.001 -0.211 -0.003
item_box_buckshot_ttt	242.417572 -279.093262 351.277924	0.152 0.003 -0.043
item_box_buckshot_ttt	236.190582 -242.294418 351.284180	-0.900 -0.008 0.808
item_box_buckshot_ttt	-73.831581 -27.357864 336.397491	-0.919 -0.009 0.818
item_box_buckshot_ttt	-57.830959 -23.822704 336.419006	-0.735 -0.006 0.653
item_box_buckshot_ttt	-338.776703 -105.042358 83.962372	-0.014 0.021 -0.014
item_box_buckshot_ttt	-359.513947 -106.362358 83.889244	0.416 -0.001 -0.315
item_box_buckshot_ttt	-144.691025 40.250465 -47.574791	-0.682 -0.006 0.608
item_box_buckshot_ttt	-127.463402 34.015736 -47.567696	-0.632 -0.007 0.561
item_box_buckshot_ttt	73.497307 -113.349953 64.355255	1.048 0.000 -0.842
item_box_buckshot_ttt	56.112186 -111.472122 64.385033	-0.963 -0.010 0.864
item_box_buckshot_ttt	79.917290 -84.430237 64.377968	0.292 0.003 -0.150
ttt_random_ammo	-278.028442 107.645432 223.547440	-0.065 0.339 0.076
ttt_random_ammo	-263.460571 122.320717 223.518600	-0.155 -0.525 -0.127
ttt_random_ammo	-468.036713 -119.759331 192.382538	0.209 0.001 0.196
ttt_random_ammo	-429.075623 15.943810 192.345322	-0.048 -0.000 -0.019
ttt_random_ammo	120.294899 140.241760 0.357512	0.059 0.000 0.001
ttt_random_ammo	286.773956 289.345154 64.349060	0.051 -0.000 0.014
ttt_random_ammo	280.002441 356.328918 64.356369	-0.058 -0.000 -0.003
ttt_random_ammo	13.606528 14.447762 192.374496	-0.111 -0.000 0.072
ttt_random_ammo	-125.561226 0.767988 192.374481	0.122 0.000 0.086
ttt_random_ammo	-143.702728 -13.192949 192.335983	-0.047 -0.000 -0.026
ttt_random_ammo	258.779938 81.150795 343.673645	0.294 0.138 -0.440
ttt_random_ammo	149.366608 82.267815 390.603394	-0.400 -0.024 -0.945
ttt_random_ammo	182.008026 45.863274 320.390198	0.484 0.003 0.534
ttt_random_ammo	-237.366592 382.827209 64.441422	1.177 0.030 1.428
