# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_vessel
# Exported by: amber
setting:	replacespawns 1
weapon_ttt_smokegrenade	-504.862854 -1981.447510 384.179260	-1.852 -1.448 -1.012
weapon_ttt_smokegrenade	-405.798492 -1983.283813 428.121063	26.573 -99.051 90.773
weapon_ttt_smokegrenade	-405.348694 -2030.524658 428.134735	25.704 -97.013 91.265
ttt_random_weapon	-163.371124 -2018.076050 1231.283691	0.000 -30.965 0.000	auto_ammo 2
ttt_random_weapon	-145.541000 -1994.810059 1225.369995	0.000 0.000 0.000	auto_ammo 2
ttt_random_weapon	-148.975998 -2009.660034 1001.369995	0.000 0.000 0.000	auto_ammo 2
ttt_random_weapon	353.294006 -2068.229980 746.372986	0.000 0.000 0.000	auto_ammo 2
ttt_random_weapon	468.489014 -2166.530029 617.372986	0.000 0.000 0.000	auto_ammo 2
ttt_random_weapon	-238.013000 -2181.429932 467.246002	0.000 0.000 0.000	auto_ammo 2
ttt_random_weapon	-238.044006 -2142.649902 467.246002	0.000 0.000 0.000	auto_ammo 2
ttt_random_weapon	-181.350006 -1967.500000 393.372986	0.000 0.000 0.000	auto_ammo 2
ttt_random_weapon	-179.184006 -2019.180054 393.372986	0.000 0.000 0.000	auto_ammo 2
ttt_random_weapon	143.281006 -2218.530029 450.782990	0.000 0.000 0.000	auto_ammo 2
ttt_random_weapon	-14.511500 -2251.290039 875.372986	0.000 0.000 0.000	auto_ammo 2
ttt_random_weapon	-511.522003 -2271.129883 1169.369995	0.000 0.000 0.000	auto_ammo 2
ttt_random_weapon	-277.462006 -700.260010 653.765015	0.000 0.000 0.000	auto_ammo 2
ttt_random_weapon	-281.386993 -745.307983 653.765015	0.000 0.000 0.000	auto_ammo 2
ttt_random_weapon	-23.192200 -483.808014 909.372986	0.000 0.000 0.000	auto_ammo 2
ttt_random_weapon	-35.643101 1489.319946 1005.369995	0.000 0.000 0.000	auto_ammo 2
ttt_random_weapon	-287.084015 2133.560059 401.372986	0.000 0.000 0.000	auto_ammo 2
ttt_random_weapon	-55.632000 -737.309998 80.719002	0.000 0.000 0.000	auto_ammo 2
ttt_random_weapon	-120.295998 -1435.140015 -40.937099	0.000 0.000 0.000	auto_ammo 2
ttt_random_weapon	-26.917601 -1455.849976 32.000000	0.000 0.000 0.000	auto_ammo 2
ttt_random_weapon	-64.153603 -1458.089966 32.000000	0.000 0.000 0.000	auto_ammo 2
ttt_random_weapon	714.552002 -2251.879883 526.650024	0.000 0.000 0.000	auto_ammo 2
ttt_random_weapon	716.169006 -2284.330078 526.650024	0.000 0.000 0.000	auto_ammo 2
ttt_random_weapon	-752.268982 -2338.750000 527.315979	0.000 0.000 0.000	auto_ammo 2
ttt_random_weapon	-753.232971 -2354.270020 527.315979	0.000 0.000 0.000	auto_ammo 2
ttt_random_weapon	-162.496994 -1982.689941 1001.369995	0.000 0.000 0.000	auto_ammo 2
ttt_random_weapon	-348.058014 -2389.550049 746.372986	0.000 0.000 0.000	auto_ammo 2
ttt_random_weapon	-193.518997 -2452.250000 155.229996	0.000 0.000 0.000	auto_ammo 2
ttt_random_weapon	-183.326996 -2480.350098 155.229996	0.000 0.000 0.000	auto_ammo 2
ttt_random_weapon	-270.256012 1977.219971 489.372986	0.000 0.000 0.000	auto_ammo 2
ttt_random_weapon	-270.537994 2036.290039 489.372986	0.000 0.000 0.000	auto_ammo 2
ttt_random_weapon	459.929993 1834.410034 489.372986	0.000 0.000 0.000	auto_ammo 2
ttt_random_weapon	467.056000 1879.630005 489.372986	0.000 0.000 0.000	auto_ammo 2
ttt_random_weapon	-19.307301 -205.740005 523.150024	0.000 0.000 0.000	auto_ammo 2
ttt_random_weapon	49.065102 -204.996002 523.150024	0.000 0.000 0.000	auto_ammo 2
ttt_random_weapon	-117.208000 -1630.829956 192.009003	0.000 0.000 0.000	auto_ammo 2
ttt_random_weapon	-24.000000 -116.000000 64.508499	0.000 0.000 0.000	auto_ammo 2
ttt_random_weapon	-21.823400 -139.311005 64.508598	0.000 0.000 0.000	auto_ammo 2
ttt_random_weapon	-21.378300 -161.205994 64.508598	0.000 0.000 0.000	auto_ammo 2
ttt_random_weapon	-19.444901 -182.938995 64.508499	0.000 0.000 0.000	auto_ammo 2
ttt_random_weapon	-20.365400 -204.149994 64.508499	0.000 0.000 0.000	auto_ammo 2
ttt_random_weapon	-22.075199 -233.143997 64.508499	0.000 0.000 0.000	auto_ammo 2
ttt_random_weapon	-20.724899 -263.069000 64.508598	0.000 0.000 0.000	auto_ammo 2
ttt_random_weapon	-21.608299 -288.640991 64.508499	0.000 0.000 0.000	auto_ammo 2
ttt_random_weapon	-20.380501 -317.385986 64.508598	0.000 0.000 0.000	auto_ammo 2
ttt_random_weapon	-118.377998 -139.311005 64.508598	0.000 0.000 0.000	auto_ammo 2
ttt_random_weapon	-117.932999 -161.205994 64.508598	0.000 0.000 0.000	auto_ammo 2
ttt_random_weapon	-116.000000 -182.938995 64.508499	0.000 0.000 0.000	auto_ammo 2
ttt_random_weapon	-116.920998 -204.149994 64.508499	0.000 0.000 0.000	auto_ammo 2
ttt_random_weapon	-118.629997 -233.143997 64.508499	0.000 0.000 0.000	auto_ammo 2
ttt_random_weapon	-117.279999 -263.069000 64.508598	0.000 0.000 0.000	auto_ammo 2
ttt_random_weapon	-118.163002 -288.640991 64.508499	0.000 0.000 0.000	auto_ammo 2
ttt_random_weapon	-116.935997 -317.385986 64.508598	0.000 0.000 0.000	auto_ammo 2
ttt_random_weapon	-100.188004 -748.421997 80.718903	0.000 0.000 0.000	auto_ammo 2
ttt_random_weapon	-144.718994 -707.138000 108.360001	0.000 0.000 0.000	auto_ammo 2
ttt_random_weapon	95.333504 600.093018 25.372900	0.000 0.000 0.000	auto_ammo 2
ttt_random_weapon	115.640999 582.234009 25.372900	0.000 0.000 0.000	auto_ammo 2
ttt_random_weapon	-274.808990 2155.719971 401.372986	0.000 0.000 0.000	auto_ammo 2
ttt_random_weapon	-263.747986 2000.130005 489.372986	0.000 0.000 0.000	auto_ammo 2
ttt_random_weapon	454.368011 1912.619995 489.372986	0.000 0.000 0.000	auto_ammo 2
ttt_random_weapon	464.145996 1776.589966 489.372986	0.000 0.000 0.000	auto_ammo 2
ttt_random_weapon	351.135986 1033.130005 441.967010	0.000 0.000 0.000	auto_ammo 2
ttt_random_weapon	451.312012 84.366798 653.765015	0.000 0.000 0.000	auto_ammo 2
ttt_random_weapon	359.200012 -238.914001 781.765015	0.000 0.000 0.000	auto_ammo 2
ttt_random_weapon	-39.143101 -443.346008 909.372986	0.000 0.000 0.000	auto_ammo 2
ttt_random_weapon	-162.149002 -2028.770020 1001.369995	0.000 0.000 0.000	auto_ammo 2
ttt_random_weapon	137.059998 -2173.870117 1001.369995	0.000 0.000 0.000	auto_ammo 2
ttt_random_weapon	145.149994 -2194.969971 1001.369995	0.000 0.000 0.000	auto_ammo 2
ttt_random_weapon	-594.312988 -2555.590088 446.467010	0.000 0.000 0.000	auto_ammo 2
ttt_random_weapon	-532.905029 -2584.270020 393.372986	0.000 0.000 0.000	auto_ammo 2
ttt_random_weapon	-534.450989 -2554.639893 393.372986	0.000 0.000 0.000	auto_ammo 2
ttt_random_weapon	-128.225006 -2017.939941 467.246002	0.000 0.000 0.000	auto_ammo 2
ttt_random_weapon	-130.623001 -2150.270020 467.246002	0.000 0.000 0.000	auto_ammo 2
ttt_random_weapon	-69.583702 -1969.030029 393.372986	0.000 0.000 0.000	auto_ammo 2
ttt_random_weapon	-66.923897 -2010.630005 393.372986	0.000 0.000 0.000	auto_ammo 2
ttt_random_weapon	425.453003 -2178.219971 393.372986	0.000 0.000 0.000	auto_ammo 2
ttt_random_weapon	351.953003 -2176.520020 393.372986	0.000 0.000 0.000	auto_ammo 2
ttt_random_weapon	377.005005 -2212.560059 393.372986	0.000 0.000 0.000	auto_ammo 2
ttt_random_weapon	-128.819000 -889.254028 393.372986	0.000 0.000 0.000	auto_ammo 2
ttt_random_weapon	-121.026001 -920.757996 393.372986	0.000 0.000 0.000	auto_ammo 2
ttt_random_weapon	-568.909973 -991.520020 271.653992	0.000 0.000 0.000	auto_ammo 2
ttt_random_weapon	-575.067017 -920.492004 271.653992	0.000 0.000 0.000	auto_ammo 2
