# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_westwood_v4
# Exported by: amber
setting:	replacespawns 1
weapon_ttt_smokegrenade	853.228149 1221.665649 -127.826080	-0.604 -1.348 -0.352
weapon_ttt_smokegrenade	855.011597 1204.739624 -127.858032	-0.944 -1.299 -0.550
weapon_ttt_smokegrenade	-43.461308 277.805664 168.188461	-0.418 -1.751 -0.633
weapon_ttt_smokegrenade	-38.979427 205.935349 168.126114	-1.054 -1.489 -1.574
weapon_ttt_smokegrenade	-44.573376 207.825119 169.479630	19.101 54.792 -89.269
weapon_ttt_smokegrenade	-37.897320 30.232489 168.151962	-0.780 -1.675 -1.190
weapon_ttt_smokegrenade	-42.283894 -29.322727 168.136536	-0.933 -1.616 -1.425
weapon_ttt_smokegrenade	-71.703506 507.967621 80.118034	-1.117 -1.329 -1.708
weapon_ttt_smokegrenade	-73.294685 666.460083 80.121361	-1.084 -1.481 -1.657
weapon_ttt_smokegrenade	-15.534495 1373.117065 136.145874	-0.841 -1.649 -1.283
weapon_ttt_smokegrenade	-52.016850 -432.740753 140.157608	-0.724 -1.695 -1.104
weapon_ttt_smokegrenade	124.310013 -622.260132 130.127701	-1.021 -1.553 -1.560
weapon_ttt_smokegrenade	833.551453 -617.979492 128.153122	-0.772 -1.674 -1.170
weapon_ttt_smokegrenade	1166.517212 -609.723999 184.149567	-0.810 -1.678 -1.223
weapon_ttt_smokegrenade	2079.314941 -554.572693 192.144592	-0.859 -1.651 -1.299
weapon_ttt_smokegrenade	2329.428711 -565.701355 192.124573	-1.052 -1.485 -1.608
weapon_ttt_smokegrenade	1389.036621 31.621645 78.174896	-3.463 14.846 49.510
weapon_ttt_smokegrenade	1388.567627 33.465954 77.189583	21.277 5.385 -25.875
weapon_ttt_smokegrenade	1385.810425 32.766438 81.143517	52.278 33.123 49.551
weapon_ttt_smokegrenade	2483.390137 140.469177 136.141998	-0.879 -1.638 -1.342
weapon_ttt_smokegrenade	1489.065186 -608.156250 184.126144	-1.036 -1.489 -1.584
weapon_ttt_smokegrenade	1330.338013 43.371910 192.112854	-1.177 -1.480 -1.782
weapon_ttt_smokegrenade	1021.226196 46.527321 192.114624	-1.151 -1.442 -1.760
weapon_ttt_smokegrenade	-22.776167 1131.101563 136.165817	-0.643 -1.723 -0.979
ttt_random_weapon	888.784180 1445.724609 -122.867210	9.088 -11.544 -98.296	auto_ammo 2
ttt_random_weapon	496.803955 1557.469482 -122.866478	9.122 -11.245 -98.529	auto_ammo 2
ttt_random_weapon	537.426270 1396.918823 -122.868584	9.112 -11.197 -98.219	auto_ammo 2
ttt_random_weapon	851.652405 1411.522583 30.038973	9.148 -14.041 -96.959	auto_ammo 2
ttt_random_weapon	68.795631 1329.106567 -106.865288	9.074 -13.012 -98.489	auto_ammo 2
ttt_random_weapon	57.220078 980.930603 -106.871811	9.108 -12.913 -97.812	auto_ammo 2
ttt_random_weapon	66.710251 1072.487305 -106.871292	9.111 -12.925 -97.883	auto_ammo 2
ttt_random_weapon	57.335075 1249.817627 -106.867676	9.132 -13.007 -98.411	auto_ammo 2
ttt_random_weapon	-40.101997 1236.077026 -106.866493	9.139 -13.036 -98.600	auto_ammo 2
ttt_random_weapon	-280.922638 1348.514771 -106.869583	9.121 -12.964 -98.128	auto_ammo 2
ttt_random_weapon	-71.581146 1339.048706 -106.867699	9.132 -13.007 -98.410	auto_ammo 2
ttt_random_weapon	-171.989243 1378.995117 -71.644516	9.137 -12.601 -98.070	auto_ammo 2
ttt_random_weapon	-47.856182 1099.783936 13.131439	9.126 -12.987 -98.277	auto_ammo 2
ttt_random_weapon	-46.408535 1265.077026 13.131601	9.127 -12.990 -98.302	auto_ammo 2
ttt_random_weapon	-181.144150 1366.163574 13.132902	9.135 -13.021 -98.502	auto_ammo 2
ttt_random_weapon	-327.911499 946.082397 -106.872421	9.102 -12.897 -97.720	auto_ammo 2
ttt_random_weapon	-327.442139 1025.088013 -106.869789	9.112 -12.953 -98.070	auto_ammo 2
ttt_random_weapon	-308.893158 968.614563 141.131271	9.118 -12.976 -98.222	auto_ammo 2
ttt_random_weapon	490.607941 961.488647 -106.866890	9.136 -13.026 -98.534	auto_ammo 2
ttt_random_weapon	487.458221 979.666809 29.129187	9.114 -12.936 -97.951	auto_ammo 2
ttt_random_weapon	488.586823 774.214905 29.130938	9.122 -12.974 -98.198	auto_ammo 2
ttt_random_weapon	593.075256 740.442566 68.807678	8.935 -9.250 -99.401	auto_ammo 2
ttt_random_weapon	857.221985 824.261169 29.130030	9.118 -12.954 -98.070	auto_ammo 2
