# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_woodedwidow
# Exported by: Believing Heart
setting:	replacespawns 1
weapon_ttt_smokegrenade	-500.771820 -344.603455 8.261536	-0.824 -1.509 -0.451
weapon_ttt_smokegrenade	-471.131012 -132.546173 8.245442	-1.413 -1.484 -0.773
weapon_ttt_smokegrenade	-2421.208740 -525.932129 9.381665	-3.419 -0.732 -1.672
weapon_ttt_smokegrenade	-2443.044189 -373.800323 14.660677	-3.462 0.177 2.759
weapon_ttt_smokegrenade	-2136.004395 1053.089355 0.981702	16.100 -58.642 -94.141
weapon_ttt_smokegrenade	67.414375 1451.613647 12.394269	26.311 23.142 101.425
weapon_ttt_smokegrenade	75.830956 1345.255737 0.826464	-4.917 -3.766 -2.834
weapon_ttt_smokegrenade	1480.143066 1422.317139 14.586898	21.591 23.370 99.817
weapon_ttt_smokegrenade	1371.823975 1305.942505 3.610164	24.252 158.157 87.189
weapon_ttt_smokegrenade	1797.958130 1102.195923 136.177795	-1.113 -1.532 -1.133
weapon_ttt_smokegrenade	1874.030518 1179.158691 136.176193	-1.147 -1.529 -1.167
weapon_ttt_smokegrenade	1301.457764 105.689537 0.170377	-1.168 -1.185 -1.873
weapon_ttt_smokegrenade	1279.856934 206.878006 0.180222	-0.634 -0.455 -0.543
weapon_ttt_smokegrenade	556.791931 251.024185 2.728666	22.329 -52.265 -92.955
ttt_random_weapon	-2267.136475 232.421280 5.124884	9.244 -11.350 -97.920	auto_ammo 2
ttt_random_weapon	-2186.210938 211.659027 5.131091	9.106 -11.434 -98.154	auto_ammo 2
ttt_random_weapon	-935.618652 1002.814209 5.132146	9.117 -11.462 -98.328	auto_ammo 2
ttt_random_weapon	-900.863953 1035.967651 5.129030	9.099 -11.395 -97.876	auto_ammo 2
ttt_random_weapon	-1381.411621 2437.666748 64.119102	9.255 -19.186 -97.510	auto_ammo 2
ttt_random_weapon	-1385.689209 2496.814697 64.131798	9.261 -11.532 -97.488	auto_ammo 2
ttt_random_weapon	-1383.318848 2469.996826 64.136330	9.111 -14.289 -98.320	auto_ammo 2
ttt_random_weapon	-466.658203 -332.239380 13.181268	9.133 -11.393 -97.772	auto_ammo 2
ttt_random_weapon	-482.978577 -259.084595 13.183224	9.187 -11.471 -98.209	auto_ammo 2
ttt_random_weapon	-493.554535 -192.017883 13.183909	9.113 -11.426 -98.010	auto_ammo 2
ttt_random_weapon	-503.655212 -143.326660 13.180578	9.113 -11.362 -97.621	auto_ammo 2
ttt_random_weapon	-510.179749 -89.402916 13.182474	9.154 -11.430 -97.991	auto_ammo 2
ttt_random_weapon	-450.906128 -358.148346 13.186371	9.144 -11.504 -98.442	auto_ammo 2
ttt_random_weapon	-468.043396 -276.055725 13.182302	9.162 -11.433 -98.000	auto_ammo 2
ttt_random_weapon	-20.295795 -269.144714 370.735443	9.085 -10.613 -98.500	auto_ammo 2
ttt_random_weapon	1899.016235 -279.303864 370.714539	9.136 -12.535 -98.135	auto_ammo 2
ttt_random_weapon	1298.467896 49.687637 5.130409	9.094 -11.430 -98.026	auto_ammo 2
ttt_random_weapon	1303.008423 158.551453 5.125913	9.226 -11.345 -97.976	auto_ammo 2
ttt_random_weapon	878.602417 91.017204 8.007328	10.516 -14.533 -102.052	auto_ammo 2
ttt_random_weapon	882.401123 225.573975 5.125678	9.146 -11.297 -97.656	auto_ammo 2
ttt_random_weapon	160.859665 408.275482 84.680214	7.125 22.196 -59.565	auto_ammo 2
ttt_random_weapon	156.461624 132.337372 68.165634	9.146 -9.887 -97.472	auto_ammo 2
